"ano_pesquisa","senioridade","faixa_salarial","quantidade","ordem_faixa","percentual"
"2025_2026","Especialista/Staff+","de R$ 25.001/mês a R$ 30.000/mês","23","11","6.59"
"2025_2026","Especialista/Staff+","de R$ 30.001/mês a R$ 40.000/mês","29","12","8.31"
"2025_2026","Especialista/Staff+","Acima de R$ 40.001/mês","24","13","6.88"
"2025_2026","Júnior","Menos de R$ 1.000/mês","17","1","3.28"
"2025_2026","Júnior","de R$ 1.001/mês a R$ 2.000/mês","100","2","19.31"
"2025_2026","Júnior","de R$ 2.001/mês a R$ 3.000/mês","98","3","18.92"
"2025_2026","Júnior","de R$ 3.001/mês a R$ 4.000/mês","88","4","16.99"
"2025_2026","Júnior","de R$ 4.001/mês a R$ 6.000/mês","122","5","23.55"
"2025_2026","Júnior","de R$ 6.001/mês a R$ 8.000/mês","47","6","9.07"
"2025_2026","Júnior","de R$ 8.001/mês a R$ 12.000/mês","38","7","7.34"
"2025_2026","Júnior","de R$ 12.001/mês a R$ 16.000/mês","7","8","1.35"
"2025_2026","Júnior","de R$ 20.001/mês a R$ 25.000/mês","1","10","0.19"
"2025_2026","Pleno","de R$ 1.001/mês a R$ 2.000/mês","11","2","1.42"
"2025_2026","Pleno","de R$ 2.001/mês a R$ 3.000/mês","20","3","2.58"
"2025_2026","Pleno","de R$ 3.001/mês a R$ 4.000/mês","49","4","6.32"
"2025_2026","Pleno","de R$ 4.001/mês a R$ 6.000/mês","162","5","20.9"
"2025_2026","Pleno","de R$ 6.001/mês a R$ 8.000/mês","194","6","25.03"
"2025_2026","Pleno","de R$ 8.001/mês a R$ 12.000/mês","253","7","32.65"
"2025_2026","Pleno","de R$ 12.001/mês a R$ 16.000/mês","63","8","8.13"
"2025_2026","Pleno","de R$ 16.001/mês a R$ 20.000/mês","7","9","0.9"
"2025_2026","Pleno","de R$ 20.001/mês a R$ 25.000/mês","5","10","0.65"
"2025_2026","Pleno","de R$ 25.001/mês a R$ 30.000/mês","4","11","0.52"
"2025_2026","Pleno","de R$ 30.001/mês a R$ 40.000/mês","5","12","0.65"
"2025_2026","Pleno","Acima de R$ 40.001/mês","2","13","0.26"
"2025_2026","Sênior","de R$ 1.001/mês a R$ 2.000/mês","3","2","0.35"
"2025_2026","Sênior","de R$ 2.001/mês a R$ 3.000/mês","6","3","0.7"
"2025_2026","Sênior","de R$ 3.001/mês a R$ 4.000/mês","11","4","1.28"
"2025_2026","Sênior","de R$ 4.001/mês a R$ 6.000/mês","34","5","3.96"
"2025_2026","Sênior","de R$ 6.001/mês a R$ 8.000/mês","79","6","9.21"
"2025_2026","Sênior","de R$ 8.001/mês a R$ 12.000/mês","278","7","32.4"
"2025_2026","Sênior","de R$ 12.001/mês a R$ 16.000/mês","202","8","23.54"
"2025_2026","Sênior","de R$ 16.001/mês a R$ 20.000/mês","117","9","13.64"
"2025_2026","Sênior","de R$ 20.001/mês a R$ 25.000/mês","47","10","5.48"
"2025_2026","Sênior","de R$ 25.001/mês a R$ 30.000/mês","31","11","3.61"
"2025_2026","Sênior","de R$ 30.001/mês a R$ 40.000/mês","24","12","2.8"
"2025_2026","Sênior","Acima de R$ 40.001/mês","26","13","3.03"
